partial,9
consider,40
and so on,1
rough,8
find,230
in my mind,4
somewhere,45
more or less,6
kind of,120
should,728
so far,25
might,235
someone,285
somebody,13
read,153
propose,7
a few,220
possible,100
seemingly,5
possibly,36
know,773
like,1323
seldom,1
I would say,15
I mean,29
often,114
fair,57
some,978
somehow,45
they said,11
likely,126
and the rest,17
expect,60
really,506
appear,27
arguably,4
probably,181
my thinking,3
unsure,1
in my opinion,7
look like,31
to be honest,12
completely,100
imagine,36
estimate,13
about,1727
could,665
a couple,74
usually,66
think,1038
feel,262
rarely,13
technically,8
guess,109
necessarily,29
a whole bunch,3
approximately,18
much,598
basic,48
my understanding,4
mostly,43
a bit,103
pretty much,44
and all that,6
understand,172
basically,53
somewhat,21
a little,93
believe,263
partially,14
recall,23
practically,11
suppose,43
among others,1
almost,120
general,66
unlikely,19
seem,150
apparently,44
sort of,75
they say,20
perhaps,47
suggest,61
generally,41
sounds like,16
occasionally,9
virtually,22
several,127
fairly,27
sure,283
may,392
most,537
frequently,9
totally,69
probable,6
remember,80
largely,17
assume,35
maybe,101
sometimes,56
roughly,11
a bunch,69
hear,38
looks like,21
nearly,59
