SentenceID,HedgeWord,Sentence,Final,Agreement
5650,a little,Anyway - I am intruding on a thread which has become - as far as I have read - a logic duel - but I thought I would introduce a little local flora and fauna.,1,0.8
5146,about,And that is why they cannot hide the fact this is about subsidizing their sex life,0,1
3166,think,Humour me....please I think everyone feels like you at sometime in their lives.. if everyone put off getting married/having a family till they could afford it many would be single and childless..,1,1
2206,about,I have to admit I am really quite worried about Russia..,0,1
233,seem,Some of the cultural questions and issues seem very similar to those faced by some of the tribes in the US Southwest.,1,0.8
2839,hear,I can hear the desperation in your words.,0,1
3368,could,I was devasted they could lie about something as important as that and have since not had a great deal of contact with my family since,0,0.8
131,someone,"Moving on...What is Limbaugh's or Beck's intent"" when they take some innocuous comment uttered by someone in the Obama administration""""",1,0.8
5321,look like,my belly and my boobs look like someone took a purple marker and had a field day!,0,0.8
1378,about,He doesn't care about anyone but himself - As a matter of fact I believe hes obsessed with himself...,0,1
6542,could,Senators could ignore the panel vote and pass the bill,1,0.6
1104,most,most libs accept this,1,1
3443,really,countries that will be ruled by few or more generation old foreigners that didn't really have to change anything to adapt and be somewhat British.,1,1
6118,most,Even if you're the most giving person to charity,0,0.6
4655,some,He did NOT start out in the copy room of some local city paper and work his way up to mogul.,0,0.6
97,may,Those events may have expedited Smiling Buddha,1,1
4985,somehow,I have an issue with this because we were still picking her up closer to 5 and somehow everyone else had the ability to change her diaper around 4:30.,0,0.8
5647,hear,Then they hear the defence - plus get an education about the principles of sentencing.,0,0.8
4627,like,I agree that there has to be a reasonable amount of secrecy in a case like this.,1,1
3735,about,He does have lots of really interesting ideas about the economy and the US's relations with the rest of the world that are worth listening to.,0,1
2861,really,But only the shoreline around the Terrace itself was really my idea of skate-friendly.,1,1
715,understand,Similar to I would never understand ramifications to certain medical procedures.,0,0.8
6837,somewhere,Edgarblythe already has heard this from me but I was in D.C. the summer of 63 and am somewhere in that crowd on the mall during the I have a dream speech.,0,0.6
3767,like,(It was a small white square that looked like a piece of Excel gum.,1,1
4896,some,I have enjoyed some of your posts on the Poetry section and once,0,0.8
2229,some,This is a positive thread about the Prez as some here said never happens and bam,0,0.6
2339,could,I could definitely support that as a non proliferation treaty.,0,0.8
6479,some,The Budget repair bill was supposed to have language eliminating some of the municipalities local control over your property tax rate and therefore should have kept your property taxes from going up.,1,1
1658,a little,I'm a little woman and I hurt my shoulder very badly at one point.,0,1
7176,like,If he had been like you those papers would have been dead by now and no one would have heard of Murdoch.,1,1
4345,understand,I understand your position on what should be done.,0,0.8
2430,most,What I have seen it that it is hard to find world-wide information with a long view -- most of the time it is for a short time period or for a specific region.,1,1
4801,find,Me and my 2 sisters looked through her house but couldnt find one anywhere.,0,0.8
2086,think,Men tend to not think with level heads... so we have to think for them.,0,0.6
7382,know,I don't know that they are,1,0.8
4901,think,"I did indeed think I was pretty cool as a jet jock as you called it (a term we never used).""""",1,1
1030,may,The protest may pressure Prime Minister Abhisit Vejjajiva to hasten plans to amend the constitution as a reconciliation panel gets ready to propose changes next month.,1,1
3675,apparently,But.... She apparently wants to cook for me this time.,1,1
1084,could,I was just getting fed up and not sure if I could deal with her and having a baby soon.,0,0.8
5304,find,i dont know... i just told him that i am sorry i will never look like that and i am so scared that he wont find me attractive in a few months because i am going to get stretch marks and just be fat and gross looking and i am just so emotional and ugh... i wasnt trying to make him feel bad.,1,1
6588,could,It could be argued that a better word is collectivist...I strongly support libertarian political actions because I want to see individuals once again free enough from government oppresion that they can choose to come together in collective effort.,1,1
