SentenceID,Correct Answer,Final,Final_Ex,Final_Both
3920,n,y,n,n
626,y,y,y,y
2529,y,y,y,y
664,y,y,y,y
2842,n,n,n,n
662,y,n,y,y
66,y,y,y,y
495,y,y,y,y
257,y,y,y,y
1082,n,n,n,n
344,y,y,y,y
26,y,y,y,y
21,n,n,y,n
22,y,y,y,y
288,y,y,n,y
1163,n,y,y,y
1735,y,y,y,y
3257,n,n,y,n
1502,y,y,y,y
0,y,y,y,y
652,n,n,y,n
4,y,y,y,y
509,y,y,y,y
31,n,n,y,n
287,n,n,y,n
653,y,y,y,y
751,n,n,n,n
221,n,n,n,n
2524,y,y,y,y
715,y,y,y,y
1327,y,y,y,y
3136,y,y,y,y
1951,y,y,y,y
229,y,y,y,y
164,n,n,n,n
223,n,n,n,n
97,y,y,y,y
13,n,y,n,y
12,y,y,n,y
15,n,n,n,n
55,n,y,n,n
5611,y,y,y,y
2495,y,n,y,y
53,n,n,y,n
52,y,y,y,y
3962,y,y,y,y
4012,y,y,y,y
2419,n,n,n,n
408,y,y,y,y
1975,y,y,n,y
135,y,y,y,y
156,y,y,y,y
2312,y,n,n,n
1201,y,y,y,y
3601,n,n,y,n
272,n,n,n,n
238,y,y,y,y
657,n,y,n,n
80,n,n,n,n
230,y,y,y,y
87,n,n,n,n
233,n,y,n,n
1325,n,n,y,n
3556,n,n,n,n
1714,y,y,y,y
47,y,y,y,y
43,y,y,y,y
40,y,y,y,y
956,y,y,y,y
1569,n,y,n,y
1443,y,y,y,y
4285,n,n,n,n
3303,y,y,y,y
2606,y,y,y,y
141,n,n,n,n
611,y,y,y,y
8751,y,y,y,y
307,y,y,y,y
77,y,y,y,y
2165,n,n,y,y
108,y,y,y,y
1468,y,y,y,y
481,n,n,n,n
372,y,y,y,y
3423,n,n,n,n
32,n,n,n,n
1049,n,n,n,n
30,y,n,y,y
820,n,n,n,n
1537,y,y,y,y
1367,n,n,y,n
809,y,y,n,n
1685,y,y,y,y
1246,y,y,y,y
649,y,y,y,y
1688,y,y,y,y
