WorkerID,Correct,Agreed,Total,% Correct,%Agreed,WorkerID,Correct,Agreed,Total,% Correct,%Agreed,,WorkerID,Correct,Agreed,Total,% Correct,%Agreed
AVOF14300525D,10,9,10,1,0.9,A2U7HWYD5KOBKW,75,85,100,0.75,0.85,,A3CFNUD7VR2E1E,85,86,100,0.85,0.86
A3CFNUD7VR2E1E,81,86,100,0.81,0.86,A1TTA3N401CZTS,24,25,30,0.8,0.833333333,,A3KOVCQYR8K3HY,78,79,100,0.78,0.79
A3KOVCQYR8K3HY,81,85,100,0.81,0.85,A3CFNUD7VR2E1E,83,85,100,0.83,0.85,,A14WWG6NKBDWGP,39,37,40,0.975,0.925
A14WWG6NKBDWGP,24,23,30,0.8,0.766666667,A2YO837C0O1E91,15,15,20,0.75,0.75,,A1SRI5PDX6WB9B,75,77,90,0.833333333,0.855555556
A1SRI5PDX6WB9B,81,90,100,0.81,0.9,A2HM35CWB7IIFM,8,9,10,0.8,0.9,,A2HR7ZIX42FEPG,83,84,100,0.83,0.84
A1XDXU43RJY8X7,6,6,10,0.6,0.6,A3G9MSZVWB7W42,53,62,80,0.6625,0.775,,A2CPBDUGX4QF2C,84,77,100,0.84,0.77
A2HR7ZIX42FEPG,85,86,100,0.85,0.86,A10DGGOQ9N186P,7,9,10,0.7,0.9,,ABM77ZQWCHPNX,80,80,90,0.888888889,0.888888889
A2CPBDUGX4QF2C,73,70,90,0.811111111,0.777777778,A29VL3MZE7YPBZ,16,19,20,0.8,0.95,,A3862RIFFUV141,82,81,100,0.82,0.81
ABM77ZQWCHPNX,57,62,70,0.814285714,0.885714286,A3VRD5WTKI0QCQ,6,7,10,0.6,0.7,,A5V3ZMQI0PU3F,70,71,90,0.777777778,0.788888889
A3862RIFFUV141,74,74,90,0.822222222,0.822222222,A3862RIFFUV141,62,67,80,0.775,0.8375,,AA7LA8WQNABDT,9,9,10,0.9,0.9
A219VCQZADQ45W,16,18,20,0.8,0.9,A1G3TBNF8L2W7A,9,8,10,0.9,0.8,,ABT7QTMIYXYO0,76,75,90,0.844444444,0.833333333
A5V3ZMQI0PU3F,83,88,100,0.83,0.88,A1ZFUBB7KVAT4G,9,8,10,0.9,0.8,,A1BQBQG2GNY8AY,33,32,40,0.825,0.8
A1BQBQG2GNY8AY,16,19,20,0.8,0.95,AUZBKS5UI3MXB,5,8,10,0.5,0.8,,A37Q1701BQI3TI,9,10,10,0.9,1
A2VE5IV9OD2SK1,9,9,10,0.9,0.9,A7TUG10LNB586,29,29,40,0.725,0.725,,,,,,,
AM2W23THD4CI7,9,9,10,0.9,0.9,A2HR7ZIX42FEPG,72,78,100,0.72,0.78,,,,,,,
ABT7QTMIYXYO0,83,84,100,0.83,0.84,AL3UGBNTPA0I7,21,25,30,0.7,0.833333333,,,,,,,
A175ZTL2OZO9YU,18,20,20,0.9,1,AURYD2FH3FUOQ,66,75,90,0.733333333,0.833333333,,,,,,,
A19BL9GZGXFWFT,8,8,10,0.8,0.8,ADJ9I7ZBFYFH7,41,40,50,0.82,0.8,,,,,,,
,,,,,,A351P2O6QGTCS,52,58,90,0.577777778,0.644444444,,,,,,,
,,,,,,A1SRI5PDX6WB9B,37,42,50,0.74,0.84,,,,,,,
,,,,,,A5V3ZMQI0PU3F,31,31,40,0.775,0.775,,,,,,,
