SentenceID,Sentence,HedgeWord,Correct Answer,Hedge,NotHedge,Final,Agreement
3920,I listen to what they say on camera,they say,n,0,1,0,1
626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,practically,y,1,0,1,1
2529,Would't be shocked if they used nukes either tbhGiven the Israeli mentality I would say we will see them strike Iran.,I would say,y,0,1,0,1
664,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the 'innocent' and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,a whole bunch,y,0,1,0,1
2842,This is totally Unacceptable!,totally,n,0,1,0,1
662,Most of those truthers are likely to just move on after the election and look for other things to be pissed off about.,likely,y,1,0,1,1
66,It might ramble at times.,might,y,1,0,1,1
495,I look at the results- Balanced budgets (kind of),kind of,y,1,0,1,1
257,Even though I would have supported the Russians against the Germans in general and especially with the German attack on Stalingrad; if I were to have crossed into Finland I probably would have ended up supporting some of the German regiments which were fighting alongside Finish units against Soviet aggression toward Finland.,general,y,1,0,1,1
1082,All you've done is copied what I've said because my thinking was sharper,my thinking,n,0,1,0,1
344,As Unions usually do,usually,y,1,0,1,1
26,I think the Zeitgeist films started out very controversial,think,y,1,0,1,1
21,If you really want to dive into these ideas,really,n,1,0,1,1
22,Its not controversial in the least like the first Zeitgeist film was.,like,y,1,0,1,1
288,One of my favorite books is a book of poetry from Chinese women ('The Orchid boat')- who were mostly concubines or otherwise matriarchal society.,mostly,y,1,0,1,1
1163,The protest may pressure Prime Minister Abhisit Vejjajiva to hasten plans to amend the constitution as a reconciliation panel gets ready to propose changes next month.,propose,n,1,0,1,1
1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,sounds like,y,1,0,1,1
3257,A house divided will surely fall.,surely,n,0,1,0,1
1502,A few thoughts in perusing the fallout here:1) Fox-- I feel sort of responsible for you feeling as though you had to defend my statements-- of course,sort of,y,1,0,1,1
0,I guess this is what you wanted me to respond to.,guess,y,1,0,1,1
652,I don't expect that movement to end any time soon.,expect,n,0,1,0,1
4,I imagine people will do whatever they want,imagine,y,1,0,1,1
509,'Smart' anything is a bit of a reach for him.,a bit,y,1,0,1,1
31,There is so much wrong and you don't seem to understand what's wrong.,much,n,1,2,0.333333333,0.666666667
287,You seem to feel that for these people and I wish you luck.,feel,n,1,0,1,1
653,I'm fairly conservative (fiscally anyway) but I can have a rational conversation with someone who has polar opposite views.,fairly,y,1,0,1,1
751,"If I"" bang it up and make it look like trash then that's on me.""",look like,n,0,1,0,1
221,So it is indeed possible the air has warmed but the ocean has not.,possible,n,1,0,1,1
2524,It now seems certain to me that within the next decade the U.K and U.S.A among others will be involved in a fully fledged war against Iran.,among others,y,1,0,1,1
715,You know what - we were possibly over there at the same time,possibly,y,1,0,1,1
1327,In the future farming will become an endeavor of the highly educated (not necessarily degrees,necessarily,y,1,0,1,1
3136,I would be more concerned with his short term intentions to be honest,to be honest,y,1,0,1,1
1951,The best estimate of the annual death toll among Americans of working age due to lack of insurance or under-insurance is at least 20,estimate,y,1,0,1,1
229,Willis says some of this water is apparently coming from a recent increase in the melting rate of glaciers in Greenland and Antarctica.,apparently,y,1,0,1,1
164,Only six percent of posters will read that entire article.,read,n,0,1,0,1
223,That becomes clear when you consider what's happening to global sea level.,consider,n,0,1,0,1
97,The current round of talks were significant for several reasons,several,y,1,0,1,1
13,Houses could constructed using autmation as well,could,n,1,0,1,1
12,They may even innovate and make better products for our society,may,y,1,0,1,1
15,You should look into Jacque Fresco.,should,n,0,1,0,1
55,No amount of justification that there was good reasons to believe can only be summed up with the Rubbaiyya of Omar Khayyam,believe,n,1,0,1,1
5611,He seeks pledges from approximately 40,approximately,y,1,0,1,1
2495,i'm somewhat more interested in boycotting bp and forcing fund managers to divest all bp stock than i am in prosecuting the bp ceo,somewhat,y,1,0,1,1
53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,most,n,0,1,0,1
52,I mean 40% of the world is living under $2 a day.,I mean,y,0,1,0,1
3962,There is no reason to assume Syria might not become the next flash-point in the Middle East,assume,y,1,0,1,1
4012,I guess that's the most probable future.,probable,y,1,0,1,1
2419,(I do not recall this and deny it!),recall,n,0,1,0,1
408,Now the Space-shuttle program is going tits up thanks to him so we're pretty much out of the space business.,pretty much,y,1,0,1,1
1975,I currently have maybe $18K US.,maybe,y,1,0,1,1
135,But I'm not sure the professor knew what 'intellectual' means.,sure,y,0,1,0,1
156,Moving on...'What is Limbaugh's or Beck's 'intent' when they take some innocuous comment uttered by someone in the Obama administration,someone,y,1,0,1,1
2312,I could feel them work my legs but they said this happens.,they said,y,0,1,0,1
1201,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,y,1,0,1,1
3601,That's about the limit of my understanding of this crazy,my understanding,n,0,1,0,1
272,I think it is fair to say that the closer a culture is to the 'one time only,fair,n,0,1,0,1
238,Salomon Klass is perhaps the most notable,perhaps,y,1,0,1,1
657,(Yes heteros sometimes abuse their children) After a while he finds out that his new wife is a lesbian and does not love him.,sometimes,n,1,0,1,1
80,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,n,0,1,0,1
230,'But in fact there's a little bit of a mystery.,a little,y,1,0,1,1
