HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.hRelDef,Input.hPropDef,Input.hRelAttrDef,Input.sentenceID0,Input.sentence0,Input.sentenceID1,Input.sentence1,Input.sentenceID2,Input.sentence2,Input.sentenceID3,Input.sentence3,Input.sentenceID4,Input.sentence4,Input.sentenceID5,Input.sentence5,Input.sentenceID6,Input.sentence6,Input.sentenceID7,Input.sentence7,Input.sentenceID8,Input.sentence8,Input.sentenceID9,Input.sentence9,Answer.example,EmptyColumn,Answer.hedge_judgement0,Answer.hedge_judgement1,Answer.hedge_judgement2,Answer.hedge_judgement3,Answer.hedge_judgement4,Answer.hedge_judgement5,Answer.hedge_judgement6,Answer.hedge_judgement7,Answer.hedge_judgement8,Answer.hedge_judgement9,Answer.potential_hedge0,Answer.potential_hedge1,Answer.potential_hedge2,Answer.potential_hedge3,Answer.potential_hedge4,Answer.potential_hedge5,Answer.potential_hedge6,Answer.potential_hedge7,Answer.potential_hedge8,Answer.potential_hedge9,Approve,Reject
3D4BBDG7ZGVZDYHS5V8GJG183ES3C9,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,37TRT2X24QQUARP5KI9ACN717P5JBN,A2HR7ZIX42FEPG,Approved,Sun Oct 25 12:12:57 PDT 2015,Sun Oct 25 12:14:16 PDT 2015,Mon Oct 26 00:14:16 PDT 2015,2015-10-26 07:15:17 UTC,,,79,100% (69/69),100% (60/60),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,7787,"I think it's quite sad that there's such a huge wedding industry"" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.""",5611,He seeks pledges from approximately 40,8099,It is time to sweep Newt into the dustbin.,2419,(I do not recall this and deny it!),4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,5809,this is in my opinion really bad bullying!!!,6482,You can re-post all the points of legitimate contention over and over.,509,'Smart' anything is a bit of a reach for him.,4186,We went up with 16/1 and they bit our hands off,1049,I am 25 and I am worried then if I ever move out they will be completely lost!,,,1,2,1,2,1,1,1,1,1,1,NONE,approximately,NONE,do not recall,NONE,NONE,NONE,NONE,NONE,NONE,,
3D4BBDG7ZGVZDYHS5V8GJG183ES3C9,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,388U7OUMF70AOS58U7LUUXX9Q3D0RN,A2CPBDUGX4QF2C,Approved,Sun Oct 25 13:12:57 PDT 2015,Sun Oct 25 13:13:38 PDT 2015,Mon Oct 26 01:13:38 PDT 2015,2015-10-26 08:15:17 UTC,,,41,100% (79/79),100% (79/79),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,7787,"I think it's quite sad that there's such a huge wedding industry"" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.""",5611,He seeks pledges from approximately 40,8099,It is time to sweep Newt into the dustbin.,2419,(I do not recall this and deny it!),4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,5809,this is in my opinion really bad bullying!!!,6482,You can re-post all the points of legitimate contention over and over.,509,'Smart' anything is a bit of a reach for him.,4186,We went up with 16/1 and they bit our hands off,1049,I am 25 and I am worried then if I ever move out they will be completely lost!,,,2,2,1,1,2,1,1,1,1,1,quite; seem,approximately,NONE,NONE,think,NONE,NONE,NONE,NONE,NONE,,
3D4BBDG7ZGVZDYHS5V8GJG183ES3C9,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,3EQHHY4HQSRIU9IVB2XUCOFT5JB5GD,A5V3ZMQI0PU3F,Approved,Fri Oct 23 18:16:30 PDT 2015,Fri Oct 23 18:21:55 PDT 2015,Sat Oct 24 06:21:55 PDT 2015,Sat Oct 24 06:23:49 PDT 2015,,,325,100% (81/81),100% (81/81),100% (29/29),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,7787,"I think it's quite sad that there's such a huge wedding industry"" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.""",5611,He seeks pledges from approximately 40,8099,It is time to sweep Newt into the dustbin.,2419,(I do not recall this and deny it!),4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,5809,this is in my opinion really bad bullying!!!,6482,You can re-post all the points of legitimate contention over and over.,509,'Smart' anything is a bit of a reach for him.,4186,We went up with 16/1 and they bit our hands off,1049,I am 25 and I am worried then if I ever move out they will be completely lost!,,,2,2,1,1,2,2,1,2,1,2,seem; massively; dozens,approximately,NONE,NONE,don't think,in my opinion,NONE,a bit,NONE,if,,
3D4BBDG7ZGVZDYHS5V8GJG183ES3C9,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,3NC5L260MOLYOJSI5XNB39F8L8TFOO,A219VCQZADQ45W,Approved,Sat Oct 24 11:51:48 PDT 2015,Sat Oct 24 11:56:12 PDT 2015,Sat Oct 24 23:56:12 PDT 2015,Sat Oct 24 15:13:53 PDT 2015,,,264,98% (126/128),100% (32/32),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,7787,"I think it's quite sad that there's such a huge wedding industry"" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.""",5611,He seeks pledges from approximately 40,8099,It is time to sweep Newt into the dustbin.,2419,(I do not recall this and deny it!),4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,5809,this is in my opinion really bad bullying!!!,6482,You can re-post all the points of legitimate contention over and over.,509,'Smart' anything is a bit of a reach for him.,4186,We went up with 16/1 and they bit our hands off,1049,I am 25 and I am worried then if I ever move out they will be completely lost!,,,2,2,1,2,2,2,1,2,1,2,"I think, seem to feel",approximately,{},do not recall,don't think,my opinion,{},a bit,{},I am worried,,
3BPP3MA3TBJVQ0RV7SIB5QVSOCVLEX,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,33FBRBDW6OYO0FLS7E8EYH4590KC8E,A2CPBDUGX4QF2C,Approved,Sun Oct 25 13:03:40 PDT 2015,Sun Oct 25 13:04:31 PDT 2015,Mon Oct 26 01:04:31 PDT 2015,2015-10-26 08:05:17 UTC,,,51,100% (79/79),100% (79/79),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,2,1,2,2,1,1,2,1,1,2,if,NONE,kind; of,occasionally; various,NONE,NONE,seems; pretty,NONE,NONE,some,,
3BPP3MA3TBJVQ0RV7SIB5QVSOCVLEX,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,3BF51CHDTV9XZYR5Y290GTV33T50HE,A2HR7ZIX42FEPG,Approved,Sun Oct 25 12:17:11 PDT 2015,Sun Oct 25 12:19:02 PDT 2015,Mon Oct 26 00:19:02 PDT 2015,2015-10-26 07:20:17 UTC,,,111,100% (69/69),100% (60/60),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,1,1,2,1,1,1,2,1,1,1,NONE,NONE,kind of,NONE,NONE,NONE,seems,NONE,NONE,NONE,,
3BPP3MA3TBJVQ0RV7SIB5QVSOCVLEX,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,3ERMJ6L4DYRX9NS0AYAMNDDMSKQ7MS,A219VCQZADQ45W,Approved,Sat Oct 24 11:29:26 PDT 2015,Sat Oct 24 11:31:32 PDT 2015,Sat Oct 24 23:31:32 PDT 2015,Sat Oct 24 15:13:53 PDT 2015,,,126,98% (126/128),100% (32/32),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,2,1,2,2,1,1,2,1,1,2,If,{},kind of,occasionally,{},{},seems to be,{},{},some,,
3BPP3MA3TBJVQ0RV7SIB5QVSOCVLEX,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,3GA6AFUKOONTGQQ2HPRJIRTA6NZH30,A5V3ZMQI0PU3F,Approved,Fri Oct 23 18:24:28 PDT 2015,Fri Oct 23 18:30:17 PDT 2015,Sat Oct 24 06:30:17 PDT 2015,Sat Oct 24 06:23:49 PDT 2015,,,349,100% (81/81),100% (81/81),100% (29/29),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,1,1,3,2,1,1,2,1,1,2,NONE,NONE,kind of,various degrees,NONE,NONE,seems;   pretty moderate,NONE,NONE,less than average,,
3MJ28H2Y1D73021Z9J50TDT96O1O5G,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,3CPLWGV3MOY75O1T1WN6EOTSTWVN9K,A3862RIFFUV141,Approved,Tue Oct 27 07:27:40 PDT 2015,Tue Oct 27 07:30:05 PDT 2015,Tue Oct 27 19:30:05 PDT 2015,Tue Oct 27 07:49:01 PDT 2015,,,145,97% (31/32),97% (31/32),100% (5/5),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,8191,The point is this: Sarah Palin made a stink about the Mosque that is two blocks away from Ground Zero due to the fact that it was close to (as we all know) the site of the twin towers that were destroyed by fanatical muslim terrorists.,221,So it is indeed possible the air has warmed but the ocean has not.,7146,I have no ability to concentrate on work,223,That becomes clear when you consider what's happening to global sea level.,3032,HUCKABEE: I would love to know more - what I know is troubling enough.,3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,2391,"All that remained left was to add gravity and a theory of everything"" could be contemplated.""",1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,50,They would not be fighting if they had the standard of living that europe and america have.,7082,"My father has undiagnosed Learning Difficulties"" and anger issues (he attacked me frequently as a child and broke my arm on one occasion).""",,,1,2,1,2,3,2,1,3,1,1,NONE,possible,NONE,becomes clear,would love to know,seems to,NONE,Perhaps; sounds like,NONE,NONE,,
3MJ28H2Y1D73021Z9J50TDT96O1O5G,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:41:36 PDT 2015,10,BatchId:2134409;,1200,43200,Mon Nov 02 12:41:36 PST 2015,,,3EWIJTFFVO6LFO03811UVQYQB420E5,A219VCQZADQ45W,Approved,Sat Oct 24 12:11:54 PDT 2015,Sat Oct 24 12:13:34 PDT 2015,Sun Oct 25 00:13:34 PDT 2015,Sat Oct 24 15:13:54 PDT 2015,,,100,98% (126/128),100% (32/32),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,8191,The point is this: Sarah Palin made a stink about the Mosque that is two blocks away from Ground Zero due to the fact that it was close to (as we all know) the site of the twin towers that were destroyed by fanatical muslim terrorists.,221,So it is indeed possible the air has warmed but the ocean has not.,7146,I have no ability to concentrate on work,223,That becomes clear when you consider what's happening to global sea level.,3032,HUCKABEE: I would love to know more - what I know is troubling enough.,3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,2391,"All that remained left was to add gravity and a theory of everything"" could be contemplated.""",1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,50,They would not be fighting if they had the standard of living that europe and america have.,7082,"My father has undiagnosed Learning Difficulties"" and anger issues (he attacked me frequently as a child and broke my arm on one occasion).""",,,1,2,1,1,2,2,1,2,1,1,{},possible,{},{},I would love to know,seems to,{},"Perhaps , it sounds like",{},{},,
