HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.hRelDef,Input.hPropDef,Input.hRelAttrDef,Input.sentenceID0,Input.sentence0,Input.sentenceID1,Input.sentence1,Input.sentenceID2,Input.sentence2,Input.sentenceID3,Input.sentence3,Input.sentenceID4,Input.sentence4,Input.sentenceID5,Input.sentence5,Input.sentenceID6,Input.sentence6,Input.sentenceID7,Input.sentence7,Input.sentenceID8,Input.sentence8,Input.sentenceID9,Input.sentence9,Answer.example,Answer.example1,Answer.hedge_judgment0,Answer.hedge_judgment1,Answer.hedge_judgment2,Answer.hedge_judgment3,Answer.hedge_judgment4,Answer.hedge_judgment5,Answer.hedge_judgment6,Answer.hedge_judgment7,Answer.hedge_judgment8,Answer.hedge_judgment9,Answer.potential_hedge0,Answer.potential_hedge1,Answer.potential_hedge2,Answer.potential_hedge3,Answer.potential_hedge4,Answer.potential_hedge5,Answer.potential_hedge6,Answer.potential_hedge7,Answer.potential_hedge8,Answer.potential_hedge9,Approve,Reject
3XT3KXP24YXPNKQAG7201MBNPCW6I5,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3MTMREQS4VHBX1KCL3ST62H3NDYWAL,A5V3ZMQI0PU3F,Approved,Sat Oct 10 13:29:57 PDT 2015,Sat Oct 10 13:38:14 PDT 2015,Sun Oct 11 01:38:14 PDT 2015,2015-10-11 08:39:33 UTC,,,497,100% (52/52),100% (52/52),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,7787,"I think it's quite sad that there's such a huge wedding industry"" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.""",5611,He seeks pledges from approximately 40,8099,It is time to sweep Newt into the dustbin.,2419,(I do not recall this and deny it!),4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,5809,this is in my opinion really bad bullying!!!,6482,You can re-post all the points of legitimate contention over and over.,509,'Smart' anything is a bit of a reach for him.,4186,We went up with 16/1 and they bit our hands off,1049,I am 25 and I am worried then if I ever move out they will be completely lost!,,,2,2,1,1,2,3,1,2,1,3,seem,approximately,NONE,NONE,think,in my opinion,NONE,a bit of,NONE,if,,
3XT3KXP24YXPNKQAG7201MBNPCW6I5,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3SB4CE2TJVUQM1P2V8OF8LV9U8XXAQ,ABT7QTMIYXYO0,Approved,Tue Oct 06 06:51:17 PDT 2015,Tue Oct 06 06:52:45 PDT 2015,Tue Oct 06 18:52:45 PDT 2015,Tue Oct 06 08:24:33 PDT 2015,,,88,100% (128/128),100% (48/48),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,7787,"I think it's quite sad that there's such a huge wedding industry"" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.""",5611,He seeks pledges from approximately 40,8099,It is time to sweep Newt into the dustbin.,2419,(I do not recall this and deny it!),4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,5809,this is in my opinion really bad bullying!!!,6482,You can re-post all the points of legitimate contention over and over.,509,'Smart' anything is a bit of a reach for him.,4186,We went up with 16/1 and they bit our hands off,1049,I am 25 and I am worried then if I ever move out they will be completely lost!,,,3,2,1,4,3,2,1,2,2,3,think,approximately,NONE,do not recall,think,in my opinion,NONE,a bit of,{},worried,,
3XT3KXP24YXPNKQAG7201MBNPCW6I5,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3VSOLARPKB801K8JJD3R5AVMIOT93R,A2CPBDUGX4QF2C,Approved,Fri Oct 09 12:10:44 PDT 2015,Fri Oct 09 12:11:34 PDT 2015,Sat Oct 10 00:11:34 PDT 2015,Fri Oct 09 14:14:05 PDT 2015,,,50,100% (49/49),100% (49/49),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,7787,"I think it's quite sad that there's such a huge wedding industry"" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.""",5611,He seeks pledges from approximately 40,8099,It is time to sweep Newt into the dustbin.,2419,(I do not recall this and deny it!),4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,5809,this is in my opinion really bad bullying!!!,6482,You can re-post all the points of legitimate contention over and over.,509,'Smart' anything is a bit of a reach for him.,4186,We went up with 16/1 and they bit our hands off,1049,I am 25 and I am worried then if I ever move out they will be completely lost!,,,3,3,1,1,3,3,1,1,1,3,think; quite,approximately,NONE,NONE,think,opinion,NONE,NONE,NONE,if,,
3K2CEDRACA0HL1RDXZ8L4PAIQTQTMI,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3E4GGUZ1T8QVXYVRJAGBC949MDOK2J,ASLX3AJAL8XMU,Approved,Tue Oct 06 13:51:47 PDT 2015,Tue Oct 06 13:52:30 PDT 2015,Wed Oct 07 01:52:30 PDT 2015,2015-10-07 08:54:33 UTC,,,43,100% (5/5),100% (5/5),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,1,1,2,1,1,1,3,1,1,1,NONE,NONE,kind of,NONE,NONE,NONE,seems to be,NONE,NONE,NONE,,
3K2CEDRACA0HL1RDXZ8L4PAIQTQTMI,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3HFNH7HEMHD7NV1TVULXAZAKX80GQL,A5V3ZMQI0PU3F,Approved,Sat Oct 10 17:15:32 PDT 2015,Sat Oct 10 17:22:56 PDT 2015,Sun Oct 11 05:22:56 PDT 2015,2015-10-11 12:24:33 UTC,,,444,100% (52/52),100% (52/52),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,1,1,3,1,2,1,2,1,1,2,NONE,NONE,kind of,NONE,just needed,NONE,seems;  pretty moderate,NONE,NONE,less than average,,
3K2CEDRACA0HL1RDXZ8L4PAIQTQTMI,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3KWTYT08702YG1WWMTUAPGK0VLAL5A,ABT7QTMIYXYO0,Approved,Tue Oct 06 05:56:22 PDT 2015,Tue Oct 06 05:58:26 PDT 2015,Tue Oct 06 17:58:26 PDT 2015,Tue Oct 06 08:24:32 PDT 2015,,,124,100% (128/128),100% (48/48),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,1,1,2,2,2,1,3,1,1,1,NONE,NONE,kind of,occasionally,just,NONE,seems,NONE,NONE,NONE,,
3K2CEDRACA0HL1RDXZ8L4PAIQTQTMI,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3SBEHTYCWN2USOYACS2U8XQ2AFCIYQ,A2CPBDUGX4QF2C,Approved,Fri Oct 09 12:40:35 PDT 2015,Fri Oct 09 12:41:25 PDT 2015,Sat Oct 10 00:41:25 PDT 2015,Fri Oct 09 14:14:04 PDT 2015,,,50,100% (49/49),100% (49/49),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,1367,It's good reading the same events in all their books...you hear a different perspective each time.,517,It's kind of hard to keep your stories straight though...,3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,4040,I just needed the courage to ask for his help as he is very 'old sch'.,22,Its not controversial in the least like the first Zeitgeist film was.,7410,seems to be a pretty moderate Republican,164,Only six percent of posters will read that entire article.,5277,not srsI dare...I dare!!!,43,ie there are some that have less than average.,,,1,1,3,3,1,1,3,1,1,3,NONE,NONE,kind; of,occasionally; various,NONE,NONE,seems; pretty,NONE,NONE,some,,
3RSBJ6YZEBPV2ZUOFVI9FPKMUKXFOB,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,33ISQZVXPPLQCIB5OQOJ030NTHPCCC,A2VE5IV9OD2SK1,Approved,Mon Oct 05 12:21:41 PDT 2015,Mon Oct 05 12:24:16 PDT 2015,Tue Oct 06 00:24:16 PDT 2015,Mon Oct 05 14:06:49 PDT 2015,,,155,100% (2/2),100% (2/2),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,8191,The point is this: Sarah Palin made a stink about the Mosque that is two blocks away from Ground Zero due to the fact that it was close to (as we all know) the site of the twin towers that were destroyed by fanatical muslim terrorists.,221,So it is indeed possible the air has warmed but the ocean has not.,7146,I have no ability to concentrate on work,223,That becomes clear when you consider what's happening to global sea level.,3032,HUCKABEE: I would love to know more - what I know is troubling enough.,3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,2391,"All that remained left was to add gravity and a theory of everything"" could be contemplated.""",1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,50,They would not be fighting if they had the standard of living that europe and america have.,7082,"My father has undiagnosed Learning Difficulties"" and anger issues (he attacked me frequently as a child and broke my arm on one occasion).""",,,1,2,1,1,1,4,1,2,1,1,NONE,possible,NONE,NONE,NONE,"something, seems, somebody",NONE,"Perhaps, sounds",NONE,NONE,,
3RSBJ6YZEBPV2ZUOFVI9FPKMUKXFOB,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,37M28K1J0QCPRHKDE49EHCNVLITJAJ,A5V3ZMQI0PU3F,Approved,Sat Oct 10 17:05:31 PDT 2015,Sat Oct 10 17:13:08 PDT 2015,Sun Oct 11 05:13:08 PDT 2015,2015-10-11 12:14:33 UTC,,,457,100% (52/52),100% (52/52),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,8191,The point is this: Sarah Palin made a stink about the Mosque that is two blocks away from Ground Zero due to the fact that it was close to (as we all know) the site of the twin towers that were destroyed by fanatical muslim terrorists.,221,So it is indeed possible the air has warmed but the ocean has not.,7146,I have no ability to concentrate on work,223,That becomes clear when you consider what's happening to global sea level.,3032,HUCKABEE: I would love to know more - what I know is troubling enough.,3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,2391,"All that remained left was to add gravity and a theory of everything"" could be contemplated.""",1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,50,They would not be fighting if they had the standard of living that europe and america have.,7082,"My father has undiagnosed Learning Difficulties"" and anger issues (he attacked me frequently as a child and broke my arm on one occasion).""",,,1,2,1,1,1,2,1,3,2,1,NONE,possible,NONE,NONE,NONE,seems,NONE,sounds like,if,NONE,,
3RSBJ6YZEBPV2ZUOFVI9FPKMUKXFOB,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 12:00:17 PDT 2015,10,BatchId:2112661;,1200,43200,Thu Oct 15 12:00:17 PDT 2015,,,3907X2AHF04W8PS7W2LJ8QQ8GLSP2J,ABT7QTMIYXYO0,Approved,Tue Oct 06 06:33:15 PDT 2015,Tue Oct 06 06:42:00 PDT 2015,Tue Oct 06 18:42:00 PDT 2015,Tue Oct 06 08:24:32 PDT 2015,,,525,100% (128/128),100% (48/48),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,8191,The point is this: Sarah Palin made a stink about the Mosque that is two blocks away from Ground Zero due to the fact that it was close to (as we all know) the site of the twin towers that were destroyed by fanatical muslim terrorists.,221,So it is indeed possible the air has warmed but the ocean has not.,7146,I have no ability to concentrate on work,223,That becomes clear when you consider what's happening to global sea level.,3032,HUCKABEE: I would love to know more - what I know is troubling enough.,3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,2391,"All that remained left was to add gravity and a theory of everything"" could be contemplated.""",1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,50,They would not be fighting if they had the standard of living that europe and america have.,7082,"My father has undiagnosed Learning Difficulties"" and anger issues (he attacked me frequently as a child and broke my arm on one occasion).""",,,1,3,1,1,1,2,1,3,1,1,NONE,possible,NONE,NONE,NONE,something about it,NONE,Perhaps,NONE,NONE,,
