HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.hRelDef,Input.hPropDef,Input.hRelAttrDef,Input.sentenceID0,Input.sentence0,Input.sentenceID1,Input.sentence1,Input.sentenceID2,Input.sentence2,Input.sentenceID3,Input.sentence3,Input.sentenceID4,Input.sentence4,Input.sentenceID5,Input.sentence5,Input.sentenceID6,Input.sentence6,Input.sentenceID7,Input.sentence7,Input.sentenceID8,Input.sentence8,Input.sentenceID9,Input.sentence9,,,Answer.hedge_judgement0,Answer.hedge_judgement1,Answer.hedge_judgement2,Answer.hedge_judgement3,Answer.hedge_judgement4,Answer.hedge_judgement5,Answer.hedge_judgement6,Answer.hedge_judgement7,Answer.hedge_judgement8,Answer.hedge_judgement9,Answer.potential_hedge0,Answer.potential_hedge1,Answer.potential_hedge2,Answer.potential_hedge3,Answer.potential_hedge4,Answer.potential_hedge5,Answer.potential_hedge6,Answer.potential_hedge7,Answer.potential_hedge8,Answer.potential_hedge9,Approve,Reject
3X2YVV51PT3CHT9IZIUY7HTEXAVW1I,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,3180JW2OT4BSLB8WJ8IX9179XBX5JM,A5V3ZMQI0PU3F,Approved,Fri Oct 23 18:33:14 PDT 2015,Fri Oct 23 18:39:43 PDT 2015,Sat Oct 24 06:39:43 PDT 2015,Sat Oct 24 06:24:07 PDT 2015,,,389,100% (81/81),100% (81/81),100% (29/29),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,519,Bring back the kitten.,53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7734,They didn't appear so noble to us then.,3237,"He stated that Al Sharpton a self made man from the streets like me"" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""",5832,While Congress is technically not funding abortions,6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,135,But I'm not sure the professor knew what 'intellectual' means.,6386,"The fight"" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.""",1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,Example0,Example1,n,y,y,y,n,n,y,y,n,y,NONE,low credibility,near; it was assumed,NONE,NONE,technically not,NONE,not sure,NONE,NONE,,
3X2YVV51PT3CHT9IZIUY7HTEXAVW1I,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,3PPTZCWALQJ7ECWYLM9MV6QQCNLZQ2,A2HR7ZIX42FEPG,Approved,Sun Oct 25 12:26:17 PDT 2015,Sun Oct 25 12:27:50 PDT 2015,Mon Oct 26 00:27:50 PDT 2015,2015-10-26 07:30:17 UTC,,,93,100% (69/69),100% (60/60),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,519,Bring back the kitten.,53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7734,They didn't appear so noble to us then.,3237,"He stated that Al Sharpton a self made man from the streets like me"" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""",5832,While Congress is technically not funding abortions,6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,135,But I'm not sure the professor knew what 'intellectual' means.,6386,"The fight"" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.""",1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,,,n,n,y,y,n,n,y,y,n,y,NONE,NONE,had not been verified,NONE,NONE,technically,NONE,not sure,NONE,NONE,,
3X2YVV51PT3CHT9IZIUY7HTEXAVW1I,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,3VE8AYVF8MWV3R52YGYF6NP86DBF8R,A2CPBDUGX4QF2C,Approved,Sun Oct 25 12:59:20 PDT 2015,Sun Oct 25 13:00:06 PDT 2015,Mon Oct 26 01:00:06 PDT 2015,2015-10-26 08:00:17 UTC,,,46,100% (79/79),100% (79/79),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,519,Bring back the kitten.,53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7734,They didn't appear so noble to us then.,3237,"He stated that Al Sharpton a self made man from the streets like me"" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""",5832,While Congress is technically not funding abortions,6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,135,But I'm not sure the professor knew what 'intellectual' means.,6386,"The fight"" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.""",1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,,,n,n,n,y,n,n,y,n,n,y,NONE,NONE,NONE,NONE,NONE,technically,NONE,NONE,NONE,NONE,,
3X2YVV51PT3CHT9IZIUY7HTEXAVW1I,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,3XCC1ODXDLAYCLA7B5F993OR3XJRQ0,A219VCQZADQ45W,Approved,Sat Oct 24 11:41:15 PDT 2015,Sat Oct 24 11:42:44 PDT 2015,Sat Oct 24 23:42:44 PDT 2015,Sat Oct 24 15:14:09 PDT 2015,,,89,98% (126/128),100% (32/32),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,519,Bring back the kitten.,53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7734,They didn't appear so noble to us then.,3237,"He stated that Al Sharpton a self made man from the streets like me"" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""",5832,While Congress is technically not funding abortions,6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,135,But I'm not sure the professor knew what 'intellectual' means.,6386,"The fight"" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.""",1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,,,n,y,y,n,n,y,y,y,n,y,{},low credibility,was assumed,didn't appear,{},{},{},{},{},{},,
39I4RL8QGIGBC2BCR1R04CQUT8BH42,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 11:54:52 PDT 2015,10,BatchId:2112642;,1200,43200,Thu Oct 15 11:54:52 PDT 2015,,,386PBUZZXFW6N0BHBVY4QQ36FE8LJN,A5V3ZMQI0PU3F,Approved,Mon Oct 12 15:10:06 PDT 2015,Mon Oct 12 15:16:23 PDT 2015,Tue Oct 13 03:16:23 PDT 2015,2015-10-13 10:20:17 UTC,,,377,100% (52/52),100% (52/52),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,519,Bring back the kitten.,53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7734,They didn't appear so noble to us then.,3237,"He stated that Al Sharpton a self made man from the streets like me"" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""",5832,While Congress is technically not funding abortions,6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,135,But I'm not sure the professor knew what 'intellectual' means.,6386,"The fight"" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.""",1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,,,n,y,y,n,n,n,y,y,n,y,NONE,low credibility,near; it was assumed,appear,NONE,technically not,NONE,I'm not sure,NONE,NONE,,
39I4RL8QGIGBC2BCR1R04CQUT8BH42,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 11:54:52 PDT 2015,10,BatchId:2112642;,1200,43200,Thu Oct 15 11:54:52 PDT 2015,,,39K0FND3AHEFSPQYH1M6X4FCOXUMA1,A2CPBDUGX4QF2C,Approved,Fri Oct 09 12:42:48 PDT 2015,Fri Oct 09 12:43:35 PDT 2015,Sat Oct 10 00:43:35 PDT 2015,Fri Oct 09 14:13:01 PDT 2015,,,47,100% (49/49),100% (49/49),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,519,Bring back the kitten.,53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7734,They didn't appear so noble to us then.,3237,"He stated that Al Sharpton a self made man from the streets like me"" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""",5832,While Congress is technically not funding abortions,6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,135,But I'm not sure the professor knew what 'intellectual' means.,6386,"The fight"" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.""",1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,,,n,y,y,n,n,n,y,y,n,y,NONE,low,assumed,appear,NONE,technically,NONE,sure,NONE,NONE,,
39I4RL8QGIGBC2BCR1R04CQUT8BH42,3U2Q8YJAS8O33LFQZSXG73SOJKNT5D,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.15 ,Mon Oct 05 11:54:52 PDT 2015,10,BatchId:2112642;,1200,43200,Thu Oct 15 11:54:52 PDT 2015,,,3N8OEVH1FRPSUW5B4061Q3OL7LMOO1,ABT7QTMIYXYO0,Approved,Tue Oct 06 06:07:18 PDT 2015,Tue Oct 06 06:10:15 PDT 2015,Tue Oct 06 18:10:15 PDT 2015,Tue Oct 06 08:22:59 PDT 2015,,,177,100% (128/128),100% (48/48),0% (0/0),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,519,Bring back the kitten.,53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,7734,They didn't appear so noble to us then.,3237,"He stated that Al Sharpton a self made man from the streets like me"" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton""",5832,While Congress is technically not funding abortions,6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,135,But I'm not sure the professor knew what 'intellectual' means.,6386,"The fight"" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.""",1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,,,n,y,y,y,n,n,y,y,y,n,NONE,low credibility,assumed,appear,NONE,technically,NONE,not sure,"""The fight""",so far as,,
3Z8UJEJOCYCXF0APTBYPHQ00XTP39S,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,35H6S234SAZGXGTPZPO80X24BO856D,A2CPBDUGX4QF2C,Approved,Sun Oct 25 13:06:22 PDT 2015,Sun Oct 25 13:07:23 PDT 2015,Mon Oct 26 01:07:23 PDT 2015,2015-10-26 08:10:17 UTC,,,61,100% (79/79),100% (79/79),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,2572,"Your husband's friend was right.. he does need to Man up""... he needs to ""man up"" and take responisibilty for his family.""",7177,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,4970,That's the mindset that people volunteering as 'safe person' or 'security' need to have.,626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,516,I thought you said in another thread that you weren't voting in the GOP Primaries...,6353,The defence says virtually nothing.,1787,(Graphic from the Washington Post) President Bush expanded the federal budget by a historic $700 billion through 2008.,1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,785,Addictions and sexual abuse run high.,2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,,,n,n,n,n,y,n,y,y,n,y,NONE,NONE,NONE,practically,thought,virtually,NONE,unlikely; likely,NONE,NONE,,
3Z8UJEJOCYCXF0APTBYPHQ00XTP39S,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,37U1UTWH9VLS6HABPBY9NC3R90D8R4,A2HR7ZIX42FEPG,Approved,Sun Oct 25 12:07:47 PDT 2015,Sun Oct 25 12:09:17 PDT 2015,Mon Oct 26 00:09:17 PDT 2015,2015-10-26 07:10:17 UTC,,,90,100% (69/69),100% (60/60),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,2572,"Your husband's friend was right.. he does need to Man up""... he needs to ""man up"" and take responisibilty for his family.""",7177,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,4970,That's the mindset that people volunteering as 'safe person' or 'security' need to have.,626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,516,I thought you said in another thread that you weren't voting in the GOP Primaries...,6353,The defence says virtually nothing.,1787,(Graphic from the Washington Post) President Bush expanded the federal budget by a historic $700 billion through 2008.,1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,785,Addictions and sexual abuse run high.,2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,,,n,n,n,y,y,y,y,n,n,n,NONE,NONE,NONE,NONE,thought,NONE,NONE,NONE,NONE,seemingly,,
3Z8UJEJOCYCXF0APTBYPHQ00XTP39S,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,3MX2NQ3YC9TTGVDL0CXY0AFO8IE5XU,A219VCQZADQ45W,Approved,Sat Oct 24 11:22:38 PDT 2015,Sat Oct 24 11:24:15 PDT 2015,Sat Oct 24 23:24:15 PDT 2015,Sat Oct 24 15:14:09 PDT 2015,,,97,98% (126/128),100% (32/32),100% (30/30),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,2572,"Your husband's friend was right.. he does need to Man up""... he needs to ""man up"" and take responisibilty for his family.""",7177,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,4970,That's the mindset that people volunteering as 'safe person' or 'security' need to have.,626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,516,I thought you said in another thread that you weren't voting in the GOP Primaries...,6353,The defence says virtually nothing.,1787,(Graphic from the Washington Post) President Bush expanded the federal budget by a historic $700 billion through 2008.,1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,785,Addictions and sexual abuse run high.,2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,,,n,n,n,n,y,n,y,y,n,n,{},{},{},practically,thought,virtually,{},unlikely,{},seemingly,,
3Z8UJEJOCYCXF0APTBYPHQ00XTP39S,3R4WH3MP1KS6NBL0HOMKZ3EAI1AP1Z,Sentence Uncertainty,Select whether a sentence contains any uncertain words or information.,"word definitions, definition, vocabulary",$0.25 ,Fri Oct 23 13:40:28 PDT 2015,10,BatchId:2134405;,1200,43200,Mon Nov 02 12:40:28 PST 2015,,,3R6P78PK7KAKFBTLCYFSF4L7LMGGTY,A5V3ZMQI0PU3F,Approved,Fri Oct 23 19:23:17 PDT 2015,Fri Oct 23 19:27:51 PDT 2015,Sat Oct 24 07:27:51 PDT 2015,Sat Oct 24 06:24:08 PDT 2015,,,274,100% (81/81),100% (81/81),100% (29/29),create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement instead of just committing to the statement themselves,2572,"Your husband's friend was right.. he does need to Man up""... he needs to ""man up"" and take responisibilty for his family.""",7177,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,4970,That's the mindset that people volunteering as 'safe person' or 'security' need to have.,626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,516,I thought you said in another thread that you weren't voting in the GOP Primaries...,6353,The defence says virtually nothing.,1787,(Graphic from the Washington Post) President Bush expanded the federal budget by a historic $700 billion through 2008.,1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,785,Addictions and sexual abuse run high.,2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,,,n,y,n,n,y,n,y,y,y,n,NONE,the like,NONE,practically,I thought,virtually,NONE,unlikely; will likely be,run high,small percentage; seemingly,,
