Hedge,Type,Definition of Hedge Type,Hedge Definition,Hedge Example,Non-hedge Definition,Non-hedge Example,Stem
about,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),almost; approximately; near; on the verge of,There are about 10 million packages in transit right now.,regarding; near (as in 'he has a funny air about him'); other,We need to talk about Mark.,y
almost,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),very nearly all,The robbers took almost everything.,Other,Other,y
apparently,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),according to appearances or incomplete evidence,Apparently John had a doctor's appointment and that's why he couldn't make it.,Other,Other,y
appear,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to give the impression of being,The problem appears to be a bug in the software.,to come into sight; to be part of a stage performance,A bird I didn't recognize appeared in our yard on Sunday.,y
approximately,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),not perfectly accurate or correct,He will be there in approximately ten minutes.,to resemble,The tofu was meant to approximate turkey.,y
arguably,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),susceptible to debate or argument,Whether or not this is the best idea is arguable.,susceptible to being supported by a convincing argument,He is arguably the best player in the history of the team.,n
assume,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to take without evidence,I assumed this position was temporary.,to take on; to take over; to take upon oneself,I assumed this position upon his retirement.,y
basic,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),general,I have a basic understanding of this concept.,the essential facts or principles,Students learn the basics of business in this class.,n
basically,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),fundamentally,So basically you add up your R squareds and whatever's left is unexplained variability.,Other,Other,n
believe,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to think; to hold as an opinion; to believe something, I believe I met him at last year's picnic.,to believe in; to believe someone,I believe you.,y
consider,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to regard as; to think/believe,I consider the failure to be intentional.,to reflect on; to pay attention to,We can consider the case based on this cause of action.,y
could,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express possibility,You could be right.,to have the ability to,I could touch my toes easily when I was younger.,y
estimate,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to form an opinion of; to provide a rough approximation,He estimated their number to be in the thousands.,a statement of approximate charge for work being done,The contractor submitted the estimate on Monday.,y
expect,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to suppose; to guess,I expect you're tired after that trip.,to anticipate; to require,We expect all participants to arrive on time.,y
