@relation AnnaHedgeData

@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}

@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}

@data
'a little',MD,VB,DT,JJ,NN,29,0.8,1
about,DT,VBZ,IN,VBG,PRP$,12,1,0
think,VB,PRP,VBP,NN,VBZ,5,1,1
about,RB,JJ,IN,NNP,.,9,1,0
seem,CC,NNS,VBP,RB,JJ,7,0.8,1
hear,PRP,MD,VB,DT,NN,2,1,0
could,VBN,PRP,MD,VB,IN,4,0.8,0
someone,VBN,IN,NN,IN,DT,19,0.8,1
'look like',PRP$,NNS,VBP,NN,VBD,5,0.8,0
about,RB,VB,IN,NN,CC,4,1,0
could,START,NNS,MD,VB,DT,1,0.6,1
most,START,START,RBS,NNS,VBP,0,1,1
really,VBD,RB,RB,VB,TO,15,1,1
most,VBP,DT,RBS,VBG,NN,5,0.6,0
some,NN,IN,DT,JJ,NN,10,0.6,0
may,DT,NNS,MD,VB,VBN,2,1,1
somehow,CD,CC,RB,NN,RB,17,0.8,0
hear,RB,PRP,VBP,DT,NN,2,0.8,0
like,DT,NN,IN,DT,.,15,1,1
about,JJ,NNS,IN,DT,NN,8,1,0
really,PRP,VBD,RB,PRP$,NN,9,1,1
understand,MD,RB,VB,NNS,TO,5,0.8,0
somewhere,CC,VBP,RB,IN,DT,18,0.6,0
like,WDT,VBD,IN,DT,NN,9,1,1
some,VBP,VBN,DT,IN,PRP$,3,0.8,0
some,NNP,IN,DT,RB,VBD,9,0.6,0
could,START,PRP,MD,RB,VB,1,0.8,0
some,NN,VBG,DT,IN,DT,10,1,1
'a little',PRP,VBP,DT,NN,CC,2,1,0
like,VBD,VBN,IN,PRP,DT,4,1,1
understand,START,PRP,VBP,PRP$,NN,1,0.8,0
most,NN,:,JJS,IN,DT,18,1,1
find,CC,NN,VBP,CD,RB,11,0.8,0
think,TO,RB,VB,IN,NN,4,0.6,0
think,VBP,TO,VB,IN,PRP,13,0.6,0
know,VBP,RB,VB,IN,PRP,3,0.8,1
think,VBD,RB,VB,PRP,VBD,3,1,1
may,DT,NN,MD,VB,NNP,2,1,1
apparently,:,PRP,RB,VBZ,TO,3,1,1
could,IN,PRP,MD,VB,IN,11,0.8,0
find,PRP,VBD,VB,PRP,JJ,26,1,1
could,START,PRP,MD,VB,VBN,1,1,1
about,VB,IN,IN,PRP,'\'\'',11,1,0
'a couple',JJ,VBD,DT,IN,NNS,5,1,1
like,MD,VB,IN,DT,JJ,3,0.8,1
'a few',IN,RB,DT,IN,DT,5,0.8,1
probably,DT,MD,RB,VB,NN,2,1,1
possible,VBZ,RB,JJ,IN,PRP,3,1,1
totally,PRP,VBP,RB,JJ,IN,3,1,0
really,PRP,MD,RB,VB,IN,3,0.6,1
about,WDT,VBZ,IN,DT,JJ,8,1,1
about,JJ,VBG,IN,STOP,STOP,5,1,0
maybe,:,CC,RB,PRP,VBZ,5,0.8,1
could,DT,NNS,MD,VB,VBN,2,0.8,1
fair,NNP,FW,JJ,JJ,:,11,0.8,0
may,NN,WDT,MD,VB,VBN,4,1,1
remember,START,PRP,VBP,DT,JJ,1,0.8,0
really,VBD,RB,RB,RB,VB,17,0.8,1
completely,CC,VBD,RB,VBN,STOP,7,1,0
know,VBP,RB,VB,WRB,RB,3,0.8,1
know,VBP,RB,VB,IN,DT,17,0.8,1
should,NN,IN,MD,VB,PRP$,23,0.8,0
about,NNP,NNS,IN,DT,NNS,10,1,0
may,WDT,PRP,MD,VB,.,16,1,1
most,IN,DT,RBS,RB,VBN,5,1,0
about,VBP,VBG,RB,VBZ,RB,5,1,0
like,JJ,NN,IN,NNP,STOP,10,0.8,1
like,JJ,NNS,IN,PRP,CC,9,1,1
basic,DT,JJ,JJ,NN,NN,5,0.6,1
about,DT,VBZ,IN,DT,NN,2,0.8,0
could,NN,CC,MD,VB,VBN,7,1,1
about,VB,VBG,IN,PRP,.,17,0.8,0
should,IN,WP,MD,VB,VBN,4,1,0
