@relation AnnaHedgeData
@attribute pos0 numeric
@attribute pos1 numeric
@attribute pos2 numeric
@attribute pos3 numeric
@attribute pos4 numeric
@attribute pos5 numeric
@attribute pos6 numeric
@attribute pos7 numeric
@attribute pos8 numeric
@attribute pos9 numeric
@attribute pos10 numeric
@attribute pos11 numeric
@attribute pos12 numeric
@attribute pos13 numeric
@attribute pos14 numeric
@attribute pos15 numeric
@attribute pos16 numeric
@attribute pos17 numeric
@attribute pos18 numeric
@attribute pos19 numeric
@attribute pos20 numeric
@attribute pos21 numeric
@attribute pos22 numeric
@attribute pos23 numeric
@attribute pos24 numeric
@attribute pos25 numeric
@attribute pos26 numeric
@attribute pos27 numeric
@attribute pos28 numeric
@attribute pos29 numeric
@attribute pos30 numeric
@attribute pos31 numeric
@attribute pos32 numeric
@attribute pos33 numeric
@attribute pos34 numeric
@attribute pos35 numeric
@attribute pos36 numeric
@attribute pos37 numeric
@attribute pos38 numeric
@attribute pos39 numeric
@attribute pos40 numeric
@attribute pos41 numeric
@attribute pos42 numeric
@attribute pos43 numeric
@attribute pos44 numeric
@attribute pos45 numeric
@attribute pos46 numeric
@attribute pos47 numeric
@attribute pos48 numeric
@attribute pos49 numeric
@attribute pos50 numeric
@attribute pos51 numeric
@attribute pos52 numeric
@attribute pos53 numeric
@attribute pos54 numeric
@attribute pos55 numeric
@attribute pos56 numeric
@attribute pos57 numeric
@attribute pos58 numeric
@attribute pos59 numeric
@attribute pos60 numeric
@attribute pos61 numeric
@attribute pos62 numeric
@attribute pos63 numeric
@attribute pos64 numeric
@attribute pos65 numeric
@attribute pos66 numeric
@attribute pos67 numeric
@attribute pos68 numeric
@attribute pos69 numeric
@attribute pos70 numeric
@attribute pos71 numeric
@attribute pos72 numeric
@attribute pos73 numeric
@attribute pos74 numeric
@attribute pos75 numeric
@attribute pos76 numeric
@attribute pos77 numeric
@attribute pos78 numeric
@attribute pos79 numeric
@attribute pos80 numeric
@attribute pos81 numeric
@attribute pos82 numeric
@attribute pos83 numeric
@attribute pos84 numeric
@attribute pos85 numeric
@attribute pos86 numeric
@attribute pos87 numeric
@attribute pos88 numeric
@attribute pos89 numeric
@attribute pos90 numeric
@attribute pos91 numeric
@attribute pos92 numeric
@attribute pos93 numeric
@attribute pos94 numeric
@attribute pos95 numeric
@attribute pos96 numeric
@attribute pos97 numeric
@attribute pos98 numeric
@attribute pos99 numeric
@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute sentencelength numeric
@attribute ratiolength numeric
@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}

@data
-0.00096,0.07281,-0.02982,-0.02484,-0.05819,0.0253,0.0527,-0.02078,-0.00358,-0.00625,0.02979,-0.05854,-0.04958,-0.02518,-0.04311,0.04282,-0.01913,-0.05676,0.03038,-0.00317,-0.05601,-0.018,0.00254,0.05789,0.04159,-0.02063,-0.00926,0.0491,-0.04733,0.01455,-0.00505,0.04377,-0.06686,-0.02656,-0.02012,0.01629,0.00914,0.02472,0.05609,-0.08286,0.04364,0.00577,-0.02485,-0.02533,-0.01538,0.02008,0.0049,0.018,0.01549,0.02486,0.06267,-0.03599,-0.02844,-0.02738,0.01168,-0.01533,-0.04002,0.02045,-0.01877,0.00313,-0.01897,0.01092,0.06753,0.02288,-0.00334,-0.04951,-0.02035,-0.01326,0.04187,0.07246,-0.05328,0.00823,-0.05513,0.00232,0.00538,0.00001,0.00151,0.00041,-0.03272,-0.00207,0.00196,-0.00856,-0.01024,-0.03058,-0.00002,0.01524,0.00287,-0.01878,-0.03044,-0.00357,-0.07232,-0.01666,0.01627,0.03411,-0.01885,-0.01968,-0.01265,0.03295,0.0205,0.02188,about,17,0.705882353,DT,VBZ,IN,VBG,PRP$,12,1,0
-0.08434,0.01572,-0.07577,0.09407,-0.1008,-0.04965,-0.05337,-0.01653,-0.07649,-0.05359,0.03877,-0.0489,-0.11187,-0.05165,0.05488,0.05931,-0.00437,-0.01489,0.11296,-0.02536,-0.0042,-0.12707,0.15782,0.00442,0.07856,-0.00134,0.04371,0.0972,0.15253,-0.00595,0.01434,-0.15359,-0.00305,0.1235,-0.08234,-0.03084,0.14263,-0.13131,0.05203,-0.03192,-0.15639,0.03102,-0.05011,0.1545,0.15336,0.10965,-0.12208,0.04487,-0.05678,-0.04688,0.06132,-0.07564,-0.02106,-0.03697,-0.05268,0.01959,0.02558,0.07729,0.1339,0.05542,-0.06318,0.17933,0.04963,0.06014,-0.01618,0.08762,0.03,-0.17787,-0.0017,0.03858,-0.12115,-0.15844,-0.23558,0.09918,-0.0076,-0.02971,0.07994,-0.09907,0.08754,-0.0269,0.12843,0.03345,-0.10408,-0.02028,-0.00255,-0.09968,0.0534,0.03732,-0.16907,0.00149,-0.1153,0.05853,0.16363,0.10396,0.02042,-0.01263,-0.11046,-0.06771,0.04642,-0.03312,think,17,0.294117647,VB,PRP,VBP,NN,VBZ,5,1,1
-0.00096,0.07281,-0.02982,-0.02484,-0.05819,0.0253,0.0527,-0.02078,-0.00358,-0.00625,0.02979,-0.05854,-0.04958,-0.02518,-0.04311,0.04282,-0.01913,-0.05676,0.03038,-0.00317,-0.05601,-0.018,0.00254,0.05789,0.04159,-0.02063,-0.00926,0.0491,-0.04733,0.01455,-0.00505,0.04377,-0.06686,-0.02656,-0.02012,0.01629,0.00914,0.02472,0.05609,-0.08286,0.04364,0.00577,-0.02485,-0.02533,-0.01538,0.02008,0.0049,0.018,0.01549,0.02486,0.06267,-0.03599,-0.02844,-0.02738,0.01168,-0.01533,-0.04002,0.02045,-0.01877,0.00313,-0.01897,0.01092,0.06753,0.02288,-0.00334,-0.04951,-0.02035,-0.01326,0.04187,0.07246,-0.05328,0.00823,-0.05513,0.00232,0.00538,0.00001,0.00151,0.00041,-0.03272,-0.00207,0.00196,-0.00856,-0.01024,-0.03058,-0.00002,0.01524,0.00287,-0.01878,-0.03044,-0.00357,-0.07232,-0.01666,0.01627,0.03411,-0.01885,-0.01968,-0.01265,0.03295,0.0205,0.02188,about,13,0.692307692,RB,JJ,IN,NNP,.,9,1,0
0.09557,0.02146,-0.02054,0.01503,0.00054,-0.0352,-0.02602,-0.04285,-0.02964,-0.01538,-0.02071,-0.00096,-0.08355,-0.01239,-0.02708,0.07213,-0.05729,-0.01826,-0.0374,-0.01502,-0.06804,-0.03401,0.07052,0.03204,0.01156,-0.01232,-0.00865,0.01271,-0.04385,-0.05284,-0.03241,0.03072,0.00893,-0.02541,-0.03392,0.05028,-0.02945,0.0571,0.03016,-0.0152,0.02461,0.00672,-0.05627,-0.00422,-0.00399,-0.03258,-0.03312,0.00139,0.06016,-0.01081,0.02674,-0.04281,0.03317,-0.07457,0.08036,0.02122,-0.04653,0.00125,-0.03379,-0.02457,-0.04025,0.05074,0.05796,0.00777,0.00336,-0.05363,0.01944,-0.02442,0.04796,-0.03005,-0.00621,0.01576,-0.08771,0.01425,-0.04212,0.00133,-0.01403,-0.01284,0.06069,0.01661,-0.0028,0.04947,-0.01313,-0.01852,0.01635,0.00128,-0.05032,-0.02806,0.04821,-0.00698,-0.09657,-0.01094,-0.07199,-0.0011,-0.02274,0.01668,-0.00376,0.02172,-0.0479,-0.03867,seem,23,0.304347826,CC,NNS,VBP,RB,JJ,7,0.8,1
0.02773,-0.01574,-0.00169,0.00629,0.00992,-0.01135,-0.0048,0.00086,-0.00581,0.00429,-0.00678,0.00973,-0.0054,-0.00792,0.00613,0.00052,0.00095,0.00955,-0.00098,0.00063,-0.00622,0.00005,0.01563,-0.00544,-0.00895,0.00096,0.00621,-0.00571,-0.00191,-0.01109,-0.00092,0.00284,0.01109,0.00212,-0.0071,0.0109,-0.00621,-0.00289,0.00347,0.00515,-0.01277,0.00581,-0.00526,0.00366,-0.00123,-0.00493,-0.01098,-0.00632,0.00663,-0.00825,-0.00682,0.00478,0.00245,-0.01057,0.01086,0.00493,0.00873,0.00159,-0.00795,0.00451,-0.00579,0.00957,0.0032,0.00282,0.00735,0.00076,0.00853,-0.00099,0.00538,-0.01848,-0.00141,0.0066,-0.00546,-0.0043,-0.02284,0.00455,-0.00706,-0.00565,0.01914,0.0039,0.00241,0.01251,-0.0051,-0.00089,0.00085,-0.00065,-0.01604,-0.00788,0.01106,-0.00396,-0.00621,0.00364,-0.01604,-0.00273,0.00258,0.00818,-0.00012,-0.00093,-0.00621,-0.00742,hear,9,0.222222222,PRP,MD,VB,DT,NN,2,1,0
0.026,0.02998,-0.03292,-0.00529,-0.03864,0.0049,-0.00975,-0.02357,-0.01986,-0.04466,0.00298,-0.03139,-0.05264,-0.0206,0.00721,0.0563,-0.03137,-0.02697,0.02092,-0.03063,-0.03165,-0.05864,0.06322,0.04158,0.0306,-0.00349,-0.0188,0.05083,-0.0048,-0.0031,-0.02336,-0.01956,-0.02711,0.0196,-0.04179,0.02959,0.01094,-0.00951,0.04951,-0.02315,0.01078,0.00115,-0.0506,0.02155,0.01794,0.01247,-0.02449,0.0167,0.00776,-0.00966,0.03097,-0.03846,-0.01268,-0.03147,0.02598,-0.00142,-0.02034,0.02823,0.0217,0.02102,-0.03589,0.04587,0.0415,0.0285,-0.02075,-0.01381,0.00295,-0.07828,0.03458,0.01999,-0.04035,-0.05584,-0.0951,0.03799,-0.0102,-0.00428,0.0193,-0.03113,0.01418,-0.00702,0.02808,0.01153,-0.02985,-0.04113,-0.0082,0.00647,0.00576,-0.00378,-0.04455,-0.01161,-0.09405,0.00406,0.01004,0.02759,0.00571,-0.01096,-0.0291,0.00876,-0.00734,-0.00463,could,26,0.153846154,VBN,PRP,MD,VB,IN,4,0.8,0
0.05309,0.02335,-0.01871,0.01212,-0.00394,-0.01708,-0.00784,-0.02086,-0.02061,-0.00919,-0.00825,-0.00297,-0.04017,-0.00783,-0.01668,0.04263,-0.0348,-0.01738,-0.03271,-0.01028,-0.03585,-0.01617,0.03504,0.01661,0.00592,-0.00138,-0.00651,-0.00088,-0.01975,-0.02712,-0.02577,0.01558,0.00054,-0.01793,-0.02711,0.0224,-0.0189,0.03906,0.00903,-0.00431,0.03196,0.00346,-0.0351,-0.00229,-0.00496,-0.02103,-0.0218,-0.00068,0.02896,-0.00927,0.01813,-0.03128,0.02121,-0.04462,0.04335,0.01426,-0.02687,0.00379,-0.02432,-0.02442,-0.02226,0.02098,0.03383,0.00874,0.0041,-0.02322,0.01371,-0.00567,0.02595,-0.0153,-0.00233,0.00956,-0.05064,0.01394,-0.01313,0.00888,-0.00475,-0.0028,0.03209,0.01366,-0.00779,0.02638,-0.00316,-0.01041,0.01273,-0.00412,-0.02506,-0.0082,0.03217,0.00361,-0.04273,-0.01508,-0.03186,-0.00331,-0.01792,0.00642,-0.00288,0.02005,-0.02559,-0.01908,someone,24,0.791666667,VBN,IN,NN,IN,DT,19,0.8,1
0.05901,0.07686,-0.0589,0.05527,-0.03583,-0.06223,-0.0093,-0.06123,-0.07947,0.00154,0.00317,-0.04499,-0.14815,-0.04325,-0.05303,0.10322,-0.06088,-0.05418,-0.01204,0.00262,-0.09069,-0.05202,0.10095,0.02761,0.06153,-0.03069,0.02894,0.03362,-0.02237,-0.0683,-0.0375,0.01567,0.00457,-0.00987,-0.05851,0.02154,-0.00376,0.06027,0.05293,-0.05855,-0.01171,0.02811,-0.06076,0.03356,0.03173,-0.00996,-0.07457,0.01043,0.05025,-0.01845,0.07632,-0.09478,0.0216,-0.10661,0.05897,0.0313,-0.0662,0.03727,-0.03186,-0.03101,-0.07239,0.09196,0.11137,0.03486,0.02992,-0.05336,0.0144,-0.01874,0.05849,-0.00357,-0.0626,0.01409,-0.16475,0.04231,-0.04924,-0.01544,0.01281,-0.00382,0.07777,0.00488,0.02967,0.06853,-0.02642,-0.00008,0.05055,-0.04492,-0.05029,-0.01601,0.00607,-0.00327,-0.11891,-0.01826,-0.02666,0.01059,-0.06806,0.02069,-0.02284,0.01696,-0.01736,-0.03824,'look like',18,0.277777778,PRP$,NNS,VBP,NN,VBD,5,0.8,0
-0.00096,0.07281,-0.02982,-0.02484,-0.05819,0.0253,0.0527,-0.02078,-0.00358,-0.00625,0.02979,-0.05854,-0.04958,-0.02518,-0.04311,0.04282,-0.01913,-0.05676,0.03038,-0.00317,-0.05601,-0.018,0.00254,0.05789,0.04159,-0.02063,-0.00926,0.0491,-0.04733,0.01455,-0.00505,0.04377,-0.06686,-0.02656,-0.02012,0.01629,0.00914,0.02472,0.05609,-0.08286,0.04364,0.00577,-0.02485,-0.02533,-0.01538,0.02008,0.0049,0.018,0.01549,0.02486,0.06267,-0.03599,-0.02844,-0.02738,0.01168,-0.01533,-0.04002,0.02045,-0.01877,0.00313,-0.01897,0.01092,0.06753,0.02288,-0.00334,-0.04951,-0.02035,-0.01326,0.04187,0.07246,-0.05328,0.00823,-0.05513,0.00232,0.00538,0.00001,0.00151,0.00041,-0.03272,-0.00207,0.00196,-0.00856,-0.01024,-0.03058,-0.00002,0.01524,0.00287,-0.01878,-0.03044,-0.00357,-0.07232,-0.01666,0.01627,0.03411,-0.01885,-0.01968,-0.01265,0.03295,0.0205,0.02188,about,21,0.19047619,RB,VB,IN,NN,CC,4,1,0
0.026,0.02998,-0.03292,-0.00529,-0.03864,0.0049,-0.00975,-0.02357,-0.01986,-0.04466,0.00298,-0.03139,-0.05264,-0.0206,0.00721,0.0563,-0.03137,-0.02697,0.02092,-0.03063,-0.03165,-0.05864,0.06322,0.04158,0.0306,-0.00349,-0.0188,0.05083,-0.0048,-0.0031,-0.02336,-0.01956,-0.02711,0.0196,-0.04179,0.02959,0.01094,-0.00951,0.04951,-0.02315,0.01078,0.00115,-0.0506,0.02155,0.01794,0.01247,-0.02449,0.0167,0.00776,-0.00966,0.03097,-0.03846,-0.01268,-0.03147,0.02598,-0.00142,-0.02034,0.02823,0.0217,0.02102,-0.03589,0.04587,0.0415,0.0285,-0.02075,-0.01381,0.00295,-0.07828,0.03458,0.01999,-0.04035,-0.05584,-0.0951,0.03799,-0.0102,-0.00428,0.0193,-0.03113,0.01418,-0.00702,0.02808,0.01153,-0.02985,-0.04113,-0.0082,0.00647,0.00576,-0.00378,-0.04455,-0.01161,-0.09405,0.00406,0.01004,0.02759,0.00571,-0.01096,-0.0291,0.00876,-0.00734,-0.00463,could,10,0.1,START,NNS,MD,VB,DT,1,0.6,1
