@relation AnnaHedgeData
@attribute pos0 numeric
@attribute pos1 numeric
@attribute pos2 numeric
@attribute pos3 numeric
@attribute pos4 numeric
@attribute pos5 numeric
@attribute pos6 numeric
@attribute pos7 numeric
@attribute pos8 numeric
@attribute pos9 numeric
@attribute pos10 numeric
@attribute pos11 numeric
@attribute pos12 numeric
@attribute pos13 numeric
@attribute pos14 numeric
@attribute pos15 numeric
@attribute pos16 numeric
@attribute pos17 numeric
@attribute pos18 numeric
@attribute pos19 numeric
@attribute pos20 numeric
@attribute pos21 numeric
@attribute pos22 numeric
@attribute pos23 numeric
@attribute pos24 numeric
@attribute pos25 numeric
@attribute pos26 numeric
@attribute pos27 numeric
@attribute pos28 numeric
@attribute pos29 numeric
@attribute pos30 numeric
@attribute pos31 numeric
@attribute pos32 numeric
@attribute pos33 numeric
@attribute pos34 numeric
@attribute pos35 numeric
@attribute pos36 numeric
@attribute pos37 numeric
@attribute pos38 numeric
@attribute pos39 numeric
@attribute pos40 numeric
@attribute pos41 numeric
@attribute pos42 numeric
@attribute pos43 numeric
@attribute pos44 numeric
@attribute pos45 numeric
@attribute pos46 numeric
@attribute pos47 numeric
@attribute pos48 numeric
@attribute pos49 numeric
@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute sentencelength numeric
@attribute ratiolength numeric
@attribute pos-2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos-1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute position numeric
@attribute agreement numeric
@attribute judgment {1,0}

@data
-0.01702,0.09863,-0.0466,-0.029,-0.08815,0.0298,0.06553,-0.01742,-0.0008,-0.01471,0.04807,-0.08419,-0.07363,-0.03708,-0.05761,0.06174,-0.02175,-0.07691,0.05089,-0.00551,-0.0667,-0.03138,0.0107,0.07813,0.06278,-0.02206,-0.0073,0.06889,-0.04552,0.03058,-0.00033,0.04694,-0.10148,-0.02794,-0.03781,0.01641,0.02339,0.02165,0.07893,-0.11491,0.05098,0.01431,-0.03204,-0.02446,-0.00784,0.04605,0.00249,0.03512,0.01305,0.03601,about,17,0.705882353,DT,VBZ,IN,VBG,PRP$,12,1,0
-0.11618,0.03921,-0.11864,0.1455,-0.15782,-0.08193,-0.07873,-0.03791,-0.12697,-0.0855,0.06663,-0.082,-0.18642,-0.08529,0.0729,0.09491,-0.02731,-0.02991,0.17365,-0.05102,-0.02375,-0.20093,0.2511,0.02139,0.13405,0.0044,0.06397,0.16818,0.21747,-0.02126,0.02441,-0.23323,-0.01055,0.18117,-0.13498,-0.04867,0.22325,-0.18737,0.08451,-0.0661,-0.22557,0.05195,-0.08173,0.23132,0.24917,0.15895,-0.18833,0.06586,-0.08719,-0.07347,think,17,0.294117647,VB,PRP,VBP,NN,VBZ,5,1,1
-0.01702,0.09863,-0.0466,-0.029,-0.08815,0.0298,0.06553,-0.01742,-0.0008,-0.01471,0.04807,-0.08419,-0.07363,-0.03708,-0.05761,0.06174,-0.02175,-0.07691,0.05089,-0.00551,-0.0667,-0.03138,0.0107,0.07813,0.06278,-0.02206,-0.0073,0.06889,-0.04552,0.03058,-0.00033,0.04694,-0.10148,-0.02794,-0.03781,0.01641,0.02339,0.02165,0.07893,-0.11491,0.05098,0.01431,-0.03204,-0.02446,-0.00784,0.04605,0.00249,0.03512,0.01305,0.03601,about,13,0.692307692,RB,JJ,IN,NNP,.,9,1,0
0.13705,0.03298,-0.02946,0.0229,-0.00229,-0.05323,-0.04145,-0.06133,-0.04279,-0.02012,-0.02664,0.00155,-0.12695,-0.01769,-0.0395,0.10652,-0.08732,-0.02557,-0.05239,-0.02125,-0.10131,-0.05097,0.10562,0.04436,0.02015,-0.01944,-0.01294,0.02139,-0.06673,-0.07799,-0.0484,0.04222,0.01362,-0.03786,-0.04844,0.07555,-0.04452,0.07708,0.04482,-0.02006,0.0293,0.00828,-0.08399,-0.00488,-0.00356,-0.04946,-0.04682,-0.00106,0.09145,-0.01642,seem,23,0.304347826,CC,NNS,VBP,RB,JJ,7,0.8,1
0.05079,-0.02597,-0.00327,0.00799,0.01733,-0.01662,-0.00345,0.00131,-0.00988,0.00813,-0.00978,0.01651,-0.00738,-0.01517,0.01018,0.00013,0.00127,0.01442,-0.00062,0.00031,-0.01222,0.00141,0.02609,-0.008,-0.01625,0.0018,0.01001,-0.00859,-0.00827,-0.01882,-0.00174,0.00848,0.01643,0.00168,-0.01193,0.02032,-0.01258,-0.00515,0.00824,0.00626,-0.01964,0.00931,-0.00821,0.0023,-0.00588,-0.00819,-0.01702,-0.01354,0.01136,-0.0136,hear,9,0.222222222,PRP,MD,VB,DT,NN,2,1,0
0.02316,0.04626,-0.05054,-0.00778,-0.06302,0.00995,-0.02148,-0.03167,-0.03021,-0.07271,0.01132,-0.0511,-0.07763,-0.03061,0.01929,0.08273,-0.04712,-0.03663,0.04271,-0.05116,-0.03698,-0.09652,0.09804,0.06047,0.05474,-0.00111,-0.02822,0.08283,0.00522,0.00294,-0.03499,-0.0494,-0.04432,0.04202,-0.06433,0.03931,0.02378,-0.03178,0.07608,-0.02983,0.00726,0.00085,-0.07545,0.0453,0.0376,0.02702,-0.03597,0.02961,0.00304,-0.01751,could,26,0.153846154,VBN,PRP,MD,VB,IN,4,0.8,0
0.07066,0.04078,-0.03261,0.02221,-0.01306,-0.02565,-0.01067,-0.02535,-0.03146,-0.01122,-0.00677,-0.00528,-0.05961,-0.01362,-0.02377,0.06277,-0.0515,-0.02736,-0.04755,-0.01389,-0.05089,-0.02371,0.05069,0.02036,0.01218,-0.00051,-0.00821,-0.00286,-0.02346,-0.03668,-0.04161,0.01661,-0.00098,-0.02468,-0.04433,0.03044,-0.02651,0.05131,0.01059,-0.0031,0.04521,0.00552,-0.05473,0.00251,-0.00468,-0.03108,-0.03484,-0.00226,0.03981,-0.01676,someone,24,0.791666667,VBN,IN,NN,IN,DT,19,0.8,1
0.07775,0.12536,-0.09242,0.08673,-0.05835,-0.09837,-0.00624,-0.09159,-0.12857,0.00823,0.01228,-0.07343,-0.22908,-0.07112,-0.08473,0.15058,-0.0922,-0.08639,-0.01289,0.00581,-0.13769,-0.07437,0.1515,0.03435,0.10245,-0.045,0.04933,0.05991,-0.03835,-0.10557,-0.0537,0.0195,0.00706,-0.01443,-0.09132,0.02071,-0.00576,0.08739,0.0802,-0.0939,-0.02443,0.04752,-0.08537,0.05082,0.06246,-0.02034,-0.1119,0.00704,0.06652,-0.02876,'look like',18,0.277777778,PRP$,NNS,VBP,NN,VBD,5,0.8,0
-0.01702,0.09863,-0.0466,-0.029,-0.08815,0.0298,0.06553,-0.01742,-0.0008,-0.01471,0.04807,-0.08419,-0.07363,-0.03708,-0.05761,0.06174,-0.02175,-0.07691,0.05089,-0.00551,-0.0667,-0.03138,0.0107,0.07813,0.06278,-0.02206,-0.0073,0.06889,-0.04552,0.03058,-0.00033,0.04694,-0.10148,-0.02794,-0.03781,0.01641,0.02339,0.02165,0.07893,-0.11491,0.05098,0.01431,-0.03204,-0.02446,-0.00784,0.04605,0.00249,0.03512,0.01305,0.03601,about,21,0.19047619,RB,VB,IN,NN,CC,4,1,0
0.02316,0.04626,-0.05054,-0.00778,-0.06302,0.00995,-0.02148,-0.03167,-0.03021,-0.07271,0.01132,-0.0511,-0.07763,-0.03061,0.01929,0.08273,-0.04712,-0.03663,0.04271,-0.05116,-0.03698,-0.09652,0.09804,0.06047,0.05474,-0.00111,-0.02822,0.08283,0.00522,0.00294,-0.03499,-0.0494,-0.04432,0.04202,-0.06433,0.03931,0.02378,-0.03178,0.07608,-0.02983,0.00726,0.00085,-0.07545,0.0453,0.0376,0.02702,-0.03597,0.02961,0.00304,-0.01751,could,10,0.1,START,NNS,MD,VB,DT,1,0.6,1
