@relation hedge

@attribute word {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute POS_2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS_w {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute POS2 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute class {1,0}

@data
about,DT,VBZ,IN,VBG,PRP$,0
think,VB,PRP,VBP,NN,VBZ,1
about,RB,JJ,IN,NNP,.,0
seem,CC,NNS,VBP,RB,JJ,1
hear,PRP,MD,VB,DT,NN,0
could,VBN,PRP,MD,VB,IN,0
someone,VBN,IN,NN,IN,DT,1
'look like',PRP$,NNS,VBP,NN,VBD,0
about,RB,VB,IN,NN,CC,0
could,START,NNS,MD,VB,DT,1
most,START,START,RBS,NNS,VBP,1
really,VBD,RB,RB,VB,TO,1
most,VBP,DT,RBS,VBG,NN,0
some,NN,IN,DT,JJ,NN,0
may,DT,NNS,MD,VB,VBN,1
somehow,CD,CC,RB,NN,RB,0
hear,RB,PRP,VBP,DT,NN,0
like,DT,NN,IN,DT,.,1
about,JJ,NNS,IN,DT,NN,0
really,PRP,VBD,RB,PRP$,NN,1
understand,MD,RB,VB,NNS,TO,0
somewhere,CC,VBP,RB,IN,DT,0
like,WDT,VBD,IN,DT,NN,1
some,VBP,VBN,DT,IN,PRP$,0
some,NNP,IN,DT,RB,VBD,0
could,START,PRP,MD,RB,VB,0
some,NN,VBG,DT,IN,DT,1
'a little',PRP,VBP,DT,NN,CC,0
like,VBD,VBN,IN,PRP,DT,1
understand,START,PRP,VBP,PRP$,NN,0
most,NN,:,JJS,IN,DT,1
find,CC,NN,VBP,CD,RB,0
think,TO,RB,VB,IN,NN,0
know,VBP,RB,VB,IN,PRP,1
think,VBD,RB,VB,PRP,VBD,1
may,DT,NN,MD,VB,NNP,1
apparently,:,PRP,RB,VBZ,TO,1
could,IN,PRP,MD,VB,IN,0
find,PRP,VBD,VB,PRP,JJ,1
could,START,PRP,MD,VB,VBN,1
about,VB,IN,IN,PRP,'\'\'',0
'a couple',JJ,VBD,DT,IN,NNS,1
like,MD,VB,IN,DT,JJ,1
'a few',IN,RB,DT,IN,DT,1
probably,DT,MD,RB,VB,NN,1
possible,VBZ,RB,JJ,IN,PRP,1
totally,PRP,VBP,RB,JJ,IN,0
really,PRP,MD,RB,VB,IN,1
about,WDT,VBZ,IN,DT,JJ,1
about,JJ,VBG,IN,STOP,STOP,0
maybe,:,CC,RB,PRP,VBZ,1
could,DT,NNS,MD,VB,VBN,1
fair,NNP,FW,JJ,JJ,:,0
may,NN,WDT,MD,VB,VBN,1
remember,START,PRP,VBP,DT,JJ,0
really,VBD,RB,RB,RB,VB,1
completely,CC,VBD,RB,VBN,STOP,0
know,VBP,RB,VB,WRB,RB,1
should,NN,IN,MD,VB,PRP$,0
about,NNP,NNS,IN,DT,NNS,0
may,WDT,PRP,MD,VB,.,1
most,IN,DT,RBS,RB,VBN,0
about,VBP,VBG,RB,VBZ,RB,0
like,JJ,NN,IN,NNP,STOP,1
like,JJ,NNS,IN,PRP,CC,1
