@relation 'AnnaHedgeData-weka.filters.unsupervised.attribute.Remove-R1-250,252-255,258-261'

@attribute hedge {'a bit','a bunch','a couple','a few','a little','a whole bunch','among others','and all that','and so forth','and so on','and suchlike','and the rest','correct me if I\'m wrong','et cetera','I mean','I would say','if I\'m understanding you correctly','in my mind','in my opinion','in my understanding','in my view','it\'s said','kind of','look like','looks like','more or less','my thinking','my understanding','pretty much','so far','somebody said','something or other','sort of','sounds like','the like','their impression','they said','they say','to be honest',about,almost,apparently,appear,approximately,arguably,assume,basic,basically,believe,completely,consider,could,estimate,expect,fair,fairly,feel,find,frequently,general,generally,guess,hear,imagine,know,largely,like,likely,may,maybe,might,most,mostly,much,nearly,necessarily,occasionally,often,partial,partially,perhaps,possible,possibly,practically,probable,probably,propose,rarely,read,really,recall,remember,rough,roughly,seem,seemingly,seldom,several,should,some,somebody,somehow,someone,sometimes,somewhat,somewhere,speculate,suggest,suppose,sure,technically,think,totally,understand,unlikely,unsure,usually,virtually}
@attribute pos {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute pos+1 {START,STOP,JJ,NN,``,-LRB-,WRB,LS,PRP,DT,NNP,FW,NNS,JJS,JJR,UH,.$$.,MD,VBD,WP,VBG,CC,'\'\'',CD,PDT,RBS,VBN,RBR,#,$,IN,VBP,WDT,SYM,NNPS,WP$,',',VB,.,VBZ,RB,PRP$,EX,POS,-RRB-,:,TO,RP,NULL}
@attribute judgment {1,0}

@data
about,IN,VBG,0
think,VBP,NN,1
about,IN,NNP,0
seem,VBP,RB,1
hear,VB,DT,0
could,MD,VB,0
someone,NN,IN,1
'look like',VBP,NN,0
about,IN,NN,0
could,MD,VB,1
most,RBS,NNS,1
really,RB,VB,1
most,RBS,VBG,0
some,DT,JJ,0
may,MD,VB,1
somehow,RB,NN,0
hear,VBP,DT,0
like,IN,DT,1
about,IN,DT,0
really,RB,PRP$,1
understand,VB,NNS,0
somewhere,RB,IN,0
like,IN,DT,1
some,DT,IN,0
some,DT,RB,0
could,MD,RB,0
some,DT,IN,1
'a little',DT,NN,0
like,IN,PRP,1
understand,VBP,PRP$,0
most,JJS,IN,1
find,VBP,CD,0
think,VB,IN,0
know,VB,IN,1
think,VB,PRP,1
may,MD,VB,1
apparently,RB,VBZ,1
could,MD,VB,0
find,VB,PRP,1
could,MD,VB,1
about,IN,PRP,0
'a couple',DT,IN,1
like,IN,DT,1
'a few',DT,IN,1
probably,RB,VB,1
possible,JJ,IN,1
totally,RB,JJ,0
really,RB,VB,1
about,IN,DT,1
about,IN,STOP,0
maybe,RB,PRP,1
could,MD,VB,1
fair,JJ,JJ,0
may,MD,VB,1
remember,VBP,DT,0
really,RB,RB,1
completely,RB,VBN,0
know,VB,WRB,1
should,MD,VB,0
about,IN,DT,0
may,MD,VB,1
most,RBS,RB,0
about,RB,VBZ,0
like,IN,NNP,1
like,IN,PRP,1
basic,JJ,NN,1
about,IN,DT,0
could,MD,VB,1
about,IN,PRP,0
should,MD,VB,0
think,VBP,PRP$,1
think,VB,IN,0
know,VB,WRB,1
about,IN,NN,0
should,MD,VB,0
some,DT,NNS,1
know,VBP,IN,1
about,RB,WRB,0
find,VBP,DT,1
about,RB,VBG,0
